,impressions_value,impressions_end_time,reach_value,reach_end_time
104,6183,2021-11-15T08:00:00+0000,1258,2021-11-15T08:00:00+0000
105,9589,2021-11-16T08:00:00+0000,1083,2021-11-16T08:00:00+0000
106,7937,2021-11-17T08:00:00+0000,1279,2021-11-17T08:00:00+0000
107,8958,2021-11-18T08:00:00+0000,1539,2021-11-18T08:00:00+0000
108,8476,2021-11-19T08:00:00+0000,1242,2021-11-19T08:00:00+0000
109,5825,2021-11-20T08:00:00+0000,1117,2021-11-20T08:00:00+0000
110,8735,2021-11-21T08:00:00+0000,1652,2021-11-21T08:00:00+0000
111,10344,2021-11-22T08:00:00+0000,1394,2021-11-22T08:00:00+0000
112,10499,2021-11-23T08:00:00+0000,2937,2021-11-23T08:00:00+0000
113,10624,2021-11-24T08:00:00+0000,1366,2021-11-24T08:00:00+0000
114,7381,2021-11-25T08:00:00+0000,1474,2021-11-25T08:00:00+0000
115,4741,2021-11-26T08:00:00+0000,1053,2021-11-26T08:00:00+0000
116,6647,2021-11-27T08:00:00+0000,1088,2021-11-27T08:00:00+0000
117,12490,2021-11-28T08:00:00+0000,1650,2021-11-28T08:00:00+0000
118,12640,2021-11-29T08:00:00+0000,2663,2021-11-29T08:00:00+0000
119,9099,2021-11-30T08:00:00+0000,1434,2021-11-30T08:00:00+0000
