,created_time,message,id
17,2021-07-01T06:13:39+0000,"‼️I'm looking for 5 ladies who want to become strong and confident while eating the foods they enjoy. I've had a few spaces become available for my 90 Day Strong and Sassy Programme in July‼️
.
.
Feel like you've tried everything and still see no results? Here's 3 reasons my coaching programme could work for you: 

1. I educate women on nutrition. I don't give meal plans but actually teach you the importance of nutrient dense food. I help you calculate calories and understand the foods you need to fuel your body. I'm also a big advocate of including foods you actually enjoy! 

2. Want to be able to lift your suitcase with ease when lockdown finishes? Want to perform a push up? Want to become a strong, independent female?
I focus on resistance training and encourage women to become the strongest they can be. 

3. I help women become the best versions of themselves. Confidence comes from the inside out and I help women find that sassy female that's hiding inside. 

These are just a few of the amazing elements to my Strong and Sassy programme, not to mention the incredible community that comes with it. 

If you're ready to become the strongest, most confident version of yourself - Dm Me 'Coach' to hear more.

Also, check out my FREE Facebook Group
https://www.facebook.com/groups/coachmcloonefreefbgroup/?ref=share",545505737609234_166417258851419
18,2021-06-30T22:53:38+0000,,545505737609234_166240302202448
19,2021-06-26T11:51:06+0000,"Anyone interested in gaining some nutrition knowledge, direction in training or curious what it is I do? 🤔

Join my FREE FB Group
https://www.facebook.com/groups/coachmcloonefreefbgroup/?ref=share",545505737609234_163057309187414
20,2021-06-16T04:22:08+0000,What are people's favourite FB Groups to be apart of? 🧐,545505737609234_156435016516310
21,2021-06-07T10:48:27+0000,"https://www.facebook.com/100000504382136/posts/4688997804460319/

Who wants to make changes like this 👇👇👇",545505737609234_150885450404600
22,2021-05-11T05:30:40+0000,"Aoibheann's Experience:
.
.
I started the programme as I wanted to lose some weight- I decided that 2021 was my year. And found Amanda on Instagram. Working with Amanda I have unreal encouragement and constant support. 
.
.
If anyone had told me I’d feel this way after just 12 weeks I wouldn’t believe them.. in fact when I started this in January I didn’t really think much would change.. But everything from my mindset to my confidence to my understanding of food and realising how great my body is, the importance of listening to your body and what I need to fuel it. 
.
.
I no longer feel guilty for having treats at the weekend or having a few drinks because that’s just a small part of my life. Staying consistent is key. 
.
.
I don’t think I’ve ever heard of a Coach who cares as much for there clients mental well-being as much as Amanda does. Feeling extremely grateful for you and all the girls, it’s so nice to share this journey in a community of such likeminded people ❤️
.
.
And 14 weeks on she's still on her journey 🙏
P.s Look at that smile 🥰",545505737609234_133207925505686
23,2021-05-06T04:43:38+0000,If you could eat one food and still achieve your results what would it be?,545505737609234_129813195845159
0,2021-05-03T00:12:56+0000,"‼️I'm looking for 5 ladies who want to become strong and confident while eating the foods they enjoy. I've had a few spaces become available for my 90 Day Strong and Sassy Programme in May‼️
.
.
Feel like you've tried everything and still see no results? Here's 3 reasons my coaching programme could work for you: 

1. I educate women on nutrition. I don't give meal plans but actually teach you the importance of nutrient dense food. I help you calculate calories and understand the foods you need to fuel your body. I'm also a big advocate of including foods you actually enjoy! 

2. Want to be able to lift your suitcase with ease when lockdown finishes? Want to perform a push up? Want to become a strong, independent female?
I focus on resistance training and encourage women to become the strongest they can be. 

3. I help women become the best versions of themselves. Confidence comes from the inside out and I help women find that sassy female that's hiding inside. 

These are just a few of the amazing elements to my Strong and Sassy programme, not to mention the incredible community that comes with it. 

If you're ready to become the strongest, most confident version of yourself - Dm Me 'Coach' to hear more.",545505737609234_128188466007632
1,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",545505737609234_126493706177108
2,2021-03-12T00:33:05+0000,,545505737609234_109633854529760
3,2021-03-12T00:25:29+0000,,545505737609234_109630651196747
4,1991-02-12T08:00:00+0000,,545505737609234_109626264530519
